iteration,R,G,B
1,105.87938117980957,92.27674961090088,80.03909397125244
2,97.66378021240234,84.99335861206055,73.59824752807617
3,94.16194248199463,80.6289873123169,69.73880577087402
4,89.0886812210083,73.46021556854248,62.59666728973389
5,87.72466373443604,72.4044361114502,61.57691669464111
6,87.2855634689331,70.78869342803955,60.203858375549316
7,85.8764705657959,70.54395771026611,58.276920318603516
8,89.57322025299072,74.10737609863281,60.62701225280762
9,96.3143720626831,80.3754711151123,64.3147201538086
10,96.65561771392822,83.14700889587402,69.0660343170166
11,97.95616912841797,88.44081687927246,72.50105094909668
12,98.30039501190186,95.01725006103516,77.48173332214355
13,100.6528263092041,99.3394193649292,77.69550228118896
14,102.75206279754639,102.73208999633789,82.60444450378418
15,102.90533638000488,107.36092853546143,93.18577194213867
16,107.43309307098389,111.4526948928833,95.77086067199707
17,105.83758735656738,111.59986591339111,93.11520767211914
18,107.6705732345581,116.1455774307251,92.64925479888916
19,112.29351711273193,117.44325065612793,93.10818004608154
20,113.68386554718018,121.36873054504395,92.73719882965088
21,109.90512657165527,118.6402416229248,85.7288236618042
22,109.44430541992188,118.32991695404053,85.00392818450928
23,113.96994113922119,123.66145992279053,81.39823818206787
24,118.55179786682129,126.98922157287598,74.99448490142822
25,124.4638204574585,127.77038860321045,75.31575584411621
26,125.51139450073242,128.25276851654053,67.02059364318848
27,123.68856430053711,124.52059078216553,60.67305660247803
28,126.45226097106934,122.10610485076904,61.40441703796387
29,127.11535358428955,121.14745616912842,59.20676803588867
30,123.37972259521484,120.21081447601318,56.68901538848877
31,117.23061752319336,120.16156196594238,57.92733287811279
32,113.09182643890381,118.65777587890625,54.60008907318115
33,104.14676189422607,118.61060047149658,59.17780780792236
34,101.5619707107544,116.5467700958252,59.33519649505615
35,101.40934658050537,122.71617984771729,62.879393577575684
36,93.32760429382324,116.07182025909424,56.41593360900879
37,93.30861377716064,116.28316879272461,61.60684776306152
38,91.57852745056152,115.50085830688477,59.77446269989014
39,91.50535869598389,121.29225826263428,63.5899076461792
40,92.08953952789307,123.57881546020508,62.5931396484375
41,89.75538635253906,125.45065116882324,60.81222343444824
42,87.54622459411621,127.08822822570801,59.00739669799805
43,82.35969066619873,124.64820861816406,56.46802234649658
44,84.82102108001709,126.43340587615967,60.60170269012451
45,86.30920505523682,129.11751651763916,59.763909339904785
46,90.00852108001709,134.6516466140747,61.906487464904785
47,88.38477420806885,133.33077812194824,63.83639907836914
48,88.36635208129883,130.09494876861572,61.690752029418945
49,92.39741611480713,128.0840482711792,60.68230152130127
50,87.7262315750122,127.19758892059326,62.866047859191895
51,87.87681293487549,122.46696758270264,59.62950801849365
52,88.65340328216553,120.67845344543457,59.02003479003906
53,91.6293363571167,121.52729415893555,56.80735778808594
54,92.6016731262207,119.8411636352539,56.10492992401123
55,89.4473180770874,121.5400333404541,54.03847599029541
56,85.36081981658936,115.24784660339355,51.35124492645264
57,84.92172908782959,118.09202480316162,48.72609615325928
58,98.0838680267334,122.95874977111816,48.417691230773926
59,89.79770374298096,120.11693286895752,46.15657615661621
60,92.96860408782959,121.16696643829346,44.24897289276123
61,91.80065631866455,118.63858127593994,42.7165470123291
62,93.9877233505249,122.5602617263794,48.82310676574707
63,96.12072277069092,123.07068729400635,43.92320919036865
64,96.85853004455566,119.50117588043213,39.51478290557861
65,97.51529693603516,121.94650173187256,39.145554542541504
66,104.65952682495117,131.29033184051514,39.06389808654785
67,107.31216144561768,126.32264423370361,37.68532943725586
68,107.07750129699707,122.84495162963867,39.96800518035889
69,112.3745231628418,127.24077033996582,42.59615612030029
70,114.23235607147217,129.02776908874512,44.13068389892578
71,117.18980503082275,128.2883825302124,42.09979057312012
72,117.98737525939941,132.36275959014893,43.53184986114502
73,117.09113121032715,129.10803985595703,43.13404369354248
74,118.06511688232422,134.9979763031006,46.7801456451416
75,118.81168937683105,133.52958011627197,49.11116886138916
76,117.68862438201904,129.85320281982422,45.00395202636719
77,116.62836837768555,130.25840377807617,46.008708000183105
78,114.35380458831787,128.29742240905762,51.29572772979736
79,113.17368221282959,126.42464637756348,53.419734954833984
80,115.84171485900879,129.02505779266357,55.315842628479004
81,117.4613265991211,130.71414852142334,56.822614669799805
82,115.49975395202637,133.58399295806885,60.71233558654785
83,113.6382360458374,131.68386363983154,61.99551963806152
84,110.85929870605469,131.81993007659912,64.68133449554443
85,112.182053565979,133.1226282119751,63.97954082489014
86,110.6006727218628,136.81217861175537,62.73591232299805
87,107.99032974243164,135.13315868377686,62.59819507598877
88,109.79887008666992,140.52480506896973,59.67408084869385
89,109.26276874542236,136.6633424758911,58.26279926300049
90,110.41059398651123,130.51529026031494,54.74907875061035
91,110.63812160491943,132.92207622528076,57.53626537322998
92,108.62680912017822,134.27815914154053,55.06034564971924
93,109.84017276763916,135.47536754608154,52.0043420791626
94,110.61602687835693,133.83185291290283,57.73027420043945
95,108.31099796295166,134.31974697113037,59.843987464904785
96,108.3904447555542,129.52215671539307,57.52473831176758
97,106.64021301269531,127.83046627044678,54.54979228973389
98,106.86336708068848,123.69494438171387,60.85799694061279
99,105.72355937957764,117.92132759094238,54.92697715759277
100,105.66564273834229,116.49865627288818,53.60042762756348
101,104.58198642730713,114.17462635040283,54.029364585876465
