iteration,edge_density
1,0.1270303726196289
2,0.06891059875488281
3,0.054523468017578125
4,0.04368305206298828
5,0.03820514678955078
6,0.04242706298828125
7,0.047855377197265625
8,0.051799774169921875
9,0.05116844177246094
10,0.045571327209472656
11,0.050337791442871094
12,0.051506996154785156
13,0.05976104736328125
14,0.06190776824951172
15,0.05904960632324219
16,0.05938434600830078
17,0.059856414794921875
18,0.056107521057128906
19,0.05912590026855469
20,0.058994293212890625
21,0.050070762634277344
22,0.04866504669189453
23,0.047557830810546875
24,0.04898643493652344
25,0.0476531982421875
26,0.04886150360107422
27,0.046568870544433594
28,0.04696941375732422
29,0.049981117248535156
30,0.04210186004638672
31,0.04220771789550781
32,0.03692817687988281
33,0.03339958190917969
34,0.03599357604980469
35,0.035803794860839844
36,0.034447669982910156
37,0.03390693664550781
38,0.034793853759765625
39,0.03164100646972656
40,0.030942916870117188
41,0.029761314392089844
42,0.026296615600585938
43,0.02884387969970703
44,0.030168533325195312
45,0.02696990966796875
46,0.02732086181640625
47,0.026465415954589844
48,0.025957107543945312
49,0.02369976043701172
50,0.03158283233642578
51,0.029549598693847656
52,0.030506134033203125
53,0.03047466278076172
54,0.03785228729248047
55,0.04186058044433594
56,0.037825584411621094
57,0.034928321838378906
58,0.03443145751953125
59,0.034282684326171875
60,0.032698631286621094
61,0.03847694396972656
62,0.037049293518066406
63,0.03940391540527344
64,0.03487586975097656
65,0.03312206268310547
66,0.03463172912597656
67,0.03413581848144531
68,0.03376007080078125
69,0.03845500946044922
70,0.037822723388671875
71,0.039399147033691406
72,0.03642559051513672
73,0.03699016571044922
74,0.03804588317871094
75,0.039702415466308594
76,0.04427623748779297
77,0.03854846954345703
78,0.03644371032714844
79,0.037479400634765625
80,0.03703022003173828
81,0.03957176208496094
82,0.039684295654296875
83,0.04207801818847656
84,0.04284191131591797
85,0.03905677795410156
86,0.04082298278808594
87,0.03869819641113281
88,0.03960609436035156
89,0.039104461669921875
90,0.03953742980957031
91,0.039211273193359375
92,0.036724090576171875
93,0.03397178649902344
94,0.036757469177246094
95,0.03389549255371094
96,0.03445720672607422
97,0.033112525939941406
98,0.03065013885498047
99,0.03198719024658203
100,0.03458404541015625
101,0.033374786376953125
