iteration,entropy
1,-224.22078447520408
2,-270.940206045134
3,-268.1481114701899
4,-250.11576438226558
5,-228.35142259699586
6,-177.08595222983703
7,-199.67458165536635
8,-175.6485081922742
9,-181.82735714410768
10,-151.95769682148017
11,-129.73654318485973
12,-137.41888002996384
13,-121.2281425688645
14,-107.57071049032793
15,-109.30746286780257
16,-94.79575769888781
17,-108.80653326325327
18,-97.95042244849067
19,-93.28568443430112
20,-87.27726557738205
21,-107.38567109400886
22,-98.49743527468675
23,-99.45040618839874
24,-117.30592282599422
25,-114.27494142013296
26,-126.7801040752903
27,-176.2248294915897
28,-179.03430179980853
29,-199.82741711880703
30,-212.3999449262908
31,-241.02115149660165
32,-245.00708111888207
33,-302.6661157130875
34,-309.64970004771345
35,-329.3659945127696
36,-335.97189101609587
37,-301.8270827995618
38,-321.11053836227904
39,-310.39351597495147
40,-349.9246981011979
41,-444.9178984046889
42,-599.3831345906075
43,-596.2037119214226
44,-598.6002799502098
45,-651.5080499117574
46,-675.8859451724431
47,-677.7989660293896
48,-711.7876107841406
49,-745.9768512765303
50,-662.7324715963554
51,-795.0734495410861
52,-731.5767334310268
53,-803.8711148073246
54,-654.066061806069
55,-707.8622296220651
56,-733.0788405641276
57,-749.2532196054526
58,-618.5358532209561
59,-730.2882635809644
60,-813.5271593795399
61,-698.4897192324354
62,-715.3454427651131
63,-864.0555709298599
64,-806.8910356471982
65,-841.916226184576
66,-865.5332198965946
67,-947.8743907664106
68,-806.6728523345851
69,-857.2206114131848
70,-870.9806723875221
71,-1024.5816202137796
72,-962.3497183296892
73,-1129.8046941517446
74,-1130.38907948017
75,-999.3356978656218
76,-1113.6304149328505
77,-1119.5074087017113
78,-887.613839292312
79,-1063.781816731779
80,-989.4357903652838
81,-1081.836783853017
82,-817.7523830619828
83,-951.3856097850794
84,-967.2420595711175
85,-1034.91189214185
86,-1187.7694081654304
87,-1206.1928157605284
88,-1349.6148842162943
89,-1198.4937788492684
90,-1188.799613624517
91,-1444.8793139934812
92,-1482.5644866608316
93,-1473.981369036846
94,-1527.6865182130869
95,-1753.2910069492862
96,-1686.9277583886715
97,-2104.495883934466
98,-1927.794928249311
99,-1617.446084955268
100,-1682.1329169682267
101,-1350.2732441180688
